id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000196,"Copley: The Death of Major Peirson, 6 January 1781",Large canvas showing a stricken British officer being carried off by his men while others engage the enemy in battle.,Creative Commons CC-BY-NC-ND (3.0 Unported),John Singleton Copley,Painting of the death of a British officer,CE 1783,"Tate Britain, London, UK","London, England","Northern and Western European, British, Neoclassicism, History Painting",oil on canvas,251.5 x 365.8 cm,Creative Commons CC-BY-NC-ND (3.0 Unported),"18th Century CE, Neoclassicism",Major Francis Peirson,,Painting
000197,Copley: Watson and the Shark,"This painting in oil on canvas shows a stormy sea, upon which is a rowboat next to a nude male in the water about to be attacked by a shark.  Two men reach from the boat to rescue the swimmer, while others row with the oars.  Two men stand in the bow of the boat, one with a spear-hook aimed at the shark, the other holding a rope that has been thrown to the swimmer.  Behind this dramatic scene are moored ships in a harbor, and the towers of a city. All gazes are directed toward the crisis in the water, and all faces register a range of intense expressions. Two from the boat are just about to save the boy by reaching his outstretched hand. The pyramidal composition of the men in the boat complements the horizontal lines created by the boy’s naked body and the huge gray shark in the greenish water as well as the serene background coastline.",Public Domain,John Singleton Copley,A rowboat on stormy waters is next to a nude man who is about to be attacked by a shark.,CE 1778,"National Gallery of Art, Washington, DC, USA","London, England","Northern and Western European, British, Neoclassicism, History Painting",oil on canvas,182.1 x 229.7 cm,Public Domain,"18th Century CE, Neoclassicism",Brook Watson,,Painting
000198,Copper alloy figure of Mars,"Copper alloy statuette with silver inlay showing the figure of the Roman god of war, Mars, in ceremonial armor.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"Copper alloy statuette showing the figure of the Roman god of war, Mars, in ceremonial armor.",CE 100-200 ,"British Museum, London, G49/dc9",Roman Britain,"Ancient Roman, Roman Britain, Imperial Roman","copper alloy, silver",Height: 21 cm,CC BY-SA 3.0 © The Trustees of the British Museum,"2th-3rd Century CE, Roman Britain","Ares, Mars",,Sculpture
000199,"Copper Seated Figure, from Tada","Made of copper, a seated shirtless male wears a patterned cloth and tools tied to its waist. The eyes are closed.  One foot and both hands are broken and missing.  ",Artstor: Italian and other European Art (Scala Archives),Unknown,A seated male in a patterned cloth and tools at his waist has his eyes closed.,CE 1290,"National Museum, Lagos, Nigeria","Tada, Nupe, Niger River, Africa","Western African, Nigerian, Yoruba",copper,57 cm,Artstor: Italian and other European Art (Scala Archives),13th Century CE,Yoruba,,Sculpture
000200,Coricancha (Temple of the Sun),"Built on two curved stone terraces is a Romanesque church with square turrets, an arched window, and a flat roof.",CC BY-SA 4.0 Diego Delso,Unknown,Two curved stone walls support a square masonry building with an arched window.,CE 1200-1300,"Cuzco, Peru","Cuzco, Peru","South American, Peruvian, Mesoamerican, Incan","diorite rocks, Andesites, and calcareous rocks",,CC BY-SA 4.0 Diego Delso,13-14th Century CE,Inca,,Architecture
000201,Correggio: Jupiter and Io,"This oil painting shows the nymph Io, nude, seated on a cushion. Her back is turned to the viewer and she is being embraced by a dark cloud in which the features of a man can be discerned.",Public Domain,Antonio da Correggio,Oil painting showing the nymph Iobeing embraced by a dark cloud in which the features of a man can be discerned.,CE 1525-1534,"Kunsthistorisches Museum, Vienna, Austria","Mantua, Italy","Southern European, Renaissance, Italian Renaissance",oil on canvas,162 x 73.5 cm,Public Domain,"16th Century CE, Italian Renaissance",Jupiter,,Painting
000202,Courbet: The Stone Breakers,"This oil-on-canvas painting shows a man wearing a hat kneeling on the right with a raised hammer, breaking large rocks into smaller ones.  On the left is a teenager wearing torn clothing holding a basket full of small rocks on his knee.  Behind the two rises a hill to the top of the frame, deeply shadowed.",CC0 1.0 Universal Public Domain,Jean Désiré Gustave Courbet,Two male figures are working on a hillside.,CE 1849,Destroyed in WW2,"Paris, France","Northern and Western European, French, Social Realism, Realism",oil on canvas,170 x 240 cm,CC0 1.0 Universal Public Domain,"19th Century CE, Social Realism",peasants,,Painting
000203,Court Official,A standing male sculpture is wrapped in a robe at the waist. He wears a round hat and a large cross around his neck. ,CC 1.0 Universal Public Domain,Unknown,A standing male sculpture wrapped in a robe at the waist. He wears a round hat and a large cross around his neck.,CE 1500-1600,"The Metropolitan Museum of Art, New York, NY, USA",Nigeria OR Benin City,"Western African, Nigerian, Benin dynasty",brass,65.4 x 17.8 x 14.9 cm,CC 1.0 Universal Public Domain,"16th Century CE, Benin dynasty",court official,,Sculpture
000204,Creation of Man by Prometheus,A marble relief depicting Prometheus on the right creating man and Athena on the left endowing the newly created man with Psyche in the form of a butterfly.,CC 3.0 Unported Attribution Caroline Léna Becker,Unknown,A marble relief crowded with seated and standing figures shows a small man in the center.  ,CE 201-300 ,"Louvre Museum, Paris, France",Rome,"Ancient Roman, Late Antiquity, Imperial Roman",marble relief,H. 55 cm,CC 3.0 Unported Attribution Caroline Léna Becker,"3rd Century CE, Imperial Rome",Prometheus,,Sculpture
000205,Creek Man’s Shoulder Bag,"Against a black background, multicolored beads are stitched into the surface of a band attached at both ends to a purse-sized bag.  The designs are similar to floral and plant shapes.",Public Domain,Unknown,"Against a black ground, multicolored beads are stitched a shoulder band and a purse-sized bag.",CE 1810-1830,"The Detroit Institute of Arts, Michigan, USA","Georgia or Alabama, United States","American, Native American, Creek","wool, cotton, silk and glass beads",65.4 x 38.4 x 1.3 cm,Public Domain,19th Century CE,overall patterns,,Clothing
000206,Crucifix,"This is a stylized image of Jesus nailed to a cross, with heads set on the cross bar and a man kneeling in prayer at the base",CC 1.0 Universal Public Domain,Unknown,"Stylized image of Jesus nailed to a cross, with heads set on the cross bar and a man kneeling in prayer at the base.",CE 1600,"The Metropolitan Museum of Art, New York, NY, USA",Angola OR Congo,"Central African, Congolese, Angolan",brass,30.2 x 15.5 cm,CC 1.0 Universal Public Domain,17th Century CE,"Christianity, crucifixion",,Sculpture
000207,Cuneiform tablet Inscribed with the Babylonian Flood Story Epic of Atra-Hasis in Akkadian,"Clay tablet, fragments, inscribed with cuneiform letters telling the Babylonian story of the flood, whose hero is named Atra-Hasis.",Artstor Digital Collection Art History Dept,Unknown,"Clay tablet, fragments, inscribed with cuneiform letters.",BCE 1646-1626 ,"Pierpont Morgan Library, NYC","Babylon, southern Mesopotamia, now Iraq","Middle Eastern, Mesopotamian, Babylonian",clay,114 x 90 mm,Artstor Digital Collection Art History Dept,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,,Cuneiform Tablet
000208,Cuneiform tablet with the Atrahasis Epic,"Clay tablet incised with cuneiform script. The bottom half and right upper quarter are missing, and the surface is damaged with chips.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,Clay tablet incised with cuneiform script,BCE 1635 ,"British Museum, London","Sippar, Babylon in southern Mesopotamia, now Iraq","Middle Eastern, Mesopotamian, Babylonian",clay,25 x 19.4 cm,CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,,Cuneiform Tablet
000209,"Cuneiform tablet, the Flood Tablet, relating part of the Epic of Gilgamesh","On a rectangular clay tablet, damaged in the upper right corner, two columns of cuneiform inscription cover both sides.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"On a rectangular clay tablet, damaged in the upper right corner, two columns of cuneiform inscription cover both sides.",BCE 650 ca.,"British Museum, London","Kouyunjik, Ancient Nineveh, now Iraq","Middle Eastern, Mesopotamian, Babylonian",clay,15.24 x 13.33 x 3.17 cm,CC BY-SA 3.0 © The Trustees of the British Museum,"7th Century BCE, Neo-Assyrian",Mesopotamian mythology,,Cuneiform Tablet
000210,"Cuneiform tablet: a-she-er gi-ta, balag to Innin/Ishtar","A fragment of a clay tablet, inscribed with cuneiform letters on both sides",CC 1.0 Universal Public Domain,Unknown,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides",BCE 100,"Metropolitan Museum of Art, New York, USA",Near East,"Middle Eastern, Mesopotamian, Babylonian",clay,10 x 8.3 x 2.4 cm,CC 1.0 Universal Public Domain,"2nd Century BCE, Seleucid or Parthian","Innin, Ishtar",,Cuneiform Tablet
000211,Cuneiform tablet: administrative account of barley distribution,"On a small square tablet made of clay, a scribe drew pictographs with a pointed implement using proto-cuneiform letters. This writing describes deliveries and distributions of grain such as barley and emmer wheat. (MMA website)",CC 1.0 Universal Public Domain,Unknown,"On a small square tablet made of clay, pictographs resembling letters",BCE 3100–2900 ca.,"Metropolitan Museum of Art, New York, USA ","Mesopotamia, probably from Uruk (modern Warka)","Middle Eastern, Mesopotamian, Sumerian",clay,6.2 x 4.7 x 1.65 cm,CC 1.0 Universal Public Domain,"3rd Millennium BCE, Sumerian",proto-cuneiform,,Cuneiform Tablet
000212,"Cuneiform tablet: Atra-hasis, Babylonian flood myth","A fragment of a cuneiform tablet, written on both sides.",CC 1.0 Universal Public Domain,Unknown,"A fragment of a cuneiform tablet, written on both sides.",BCE 600 ca. ,"Metropolitan Museum of Art, New York, USA ",Mesopotamia,"Middle Eastern, Mesopotamian, Babylonian, Akkadian",clay,6.35 x 5.72 x 2.54 cm,CC 1.0 Universal Public Domain,"7th Century BCE, Neo-Babylonian or Achaemenid",Mesopotamian mythology,,Cuneiform Tablet
000213,Cuneiform tablet: Old Babylonian balag to the mother goddess Aruru,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides.",CC 1.0 Universal Public Domain,Unknown,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides",BCE 1700,"Metropolitan Museum of Art, New York, USA",Near East,"Middle Eastern, Mesopotamian, Babylonian, Sumerian",clay,10 x 4.9 x 2.7 cm,CC 1.0 Universal Public Domain,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,,Cuneiform Tablet
000214,Cuneiform tablet: private letter,"A clay tablet inscribed with cuneiform script on front, back, and sides.",CC 1.0 Universal Public Domain,Unknown,"A clay tablet inscribed with cuneiform script on front, back, and sides",BCE 2000 ca.,"Metropolitan Museum of Art, New York, USA ","Anatolia, probably from Kültepe (Karum Kanesh, Turkey)","Middle Eastern, Anatolian, Mesopotamian",clay,5.3 x 5 x 2 cm,CC 1.0 Universal Public Domain,3rd Millennium BCE,correspondence,,Cuneiform Tablet
